instance,0,v_num,time,1,v_num,time,2,v_num,time,3,v_num,time,4,v_num,time,5,v_num,time,6,v_num,time,7,v_num,time,8,v_num,time,9,v_num,time,best,average,average_time
 Range_125/ins_100_2.txt,917,13,103.71,917,13,342.002,917,13,247.334,917,13,115.028,917,13,263.871,917,13,78.559,917,13,122.439,917,13,115.569,917,13,317.93,917,13,91.239,917,917,179.77
 Range_125/ins_100_3.txt,998.18,14,24.18,998.18,14,0.273,998.18,14,15.044,998.18,14,11.99,998.18,14,21.466,998.18,14,2.484,998.18,14,5.033,998.18,14,6.394,998.18,14,17.449,998.18,14,15.011,998.18,998.18,11.93
 Range_125/ins_200_1.txt,910.17,14,23.09,910.17,14,213.934,910.17,14,19.833,910.17,14,139.269,910.17,14,128.02,910.17,14,8.567,910.17,14,78.122,910.17,14,11.559,910.17,14,30.926,910.17,14,34.844,910.17,910.17,68.82
 Range_125/ins_200_2.txt,921.76,13,39.785,921.76,13,67.859,921.76,13,57.414,921.76,13,91.301,921.76,13,8.772,921.76,13,9.053,921.76,13,44.935,921.76,13,27.388,921.76,13,20.398,921.76,13,11.267,921.76,921.76,37.82
 Range_125/ins_200_3.txt,939.58,12,73.597,939.58,12,7.874,939.58,12,1.638,939.58,12,39.365,939.58,12,2.336,939.58,12,7.941,939.58,12,5.206,939.58,12,22.862,939.58,12,6.409,939.58,12,15.313,939.58,939.58,18.25
 Range_125/ins_300_1.txt,977.65,16,383.696,977.65,16,300.272,977.66,16,714.501,977.65,16,954.294,977.66,16,240.357,978.52,16,918.358,977.65,16,63.161,977.65,16,170.517,977.65,16,319.914,977.65,16,626.277,977.65,977.74,469.13
 Range_125/ins_300_2.txt,913.01,15,4.7,913.01,15,212.043,913.01,15,42.367,913.01,15,71.218,913.01,15,122.755,913.01,15,57.672,913.01,15,124.254,913.01,15,16.418,913.01,15,40.343,913.01,15,498.199,913.01,913.01,119
 Range_125/ins_300_3.txt,974.78,15,580.31,974.78,15,58.505,974.78,15,49.45,974.78,15,132.74,974.78,15,234.581,974.78,15,79.432,974.78,15,109.155,974.78,15,438.448,974.78,15,604.587,974.85,14,67.33,974.78,974.79,235.45
 Range_125/ins_400_1.txt,965.99,13,48.163,965.99,13,194.977,965.99,13,117.811,965.99,13,124.771,965.99,13,58.31,965.99,13,54.265,965.99,13,14.723,965.99,13,43.685,965.99,13,6.939,965.99,13,59.286,965.99,965.99,72.29
 Range_125/ins_400_2.txt,935.65,17,177.59,941.02,15,102.768,938.54,16,323.791,938.54,16,609.253,941.02,15,82.767,941.02,15,238.378,941.02,15,164.309,941.02,15,472.964,941.02,15,358.833,938.54,16,16.338,935.65,939.74,254.7
 Range_125/ins_400_3.txt,1002.61,13,270.542,1002.61,13,524.86,1002.61,13,7.384,1002.61,13,73.507,1002.61,13,12.715,1002.61,13,68.51,1002.61,13,11.702,1002.61,13,183.017,1002.61,13,9.489,1002.61,13,914.149,1002.61,1002.61,207.59
 Range_125/ins_500_1.txt,963.89,14,462.694,963.89,14,811.362,963.89,14,98.634,963.89,14,533.592,963.89,14,247.612,963.89,14,873.954,963.89,14,23.871,963.89,14,628.428,963.89,14,27.679,963.89,14,792.143,963.89,963.89,450
 Range_125/ins_500_2.txt,949.45,16,260.566,948.91,15,857.739,948.57,16,49.862,948.57,16,284.39,948.91,15,931.836,949.84,16,317.387,948.91,15,941.313,948.91,15,834.234,949.31,16,895.686,950.18,15,811.64,948.57,949.16,618.47
 Range_125/ins_500_3.txt,980.97,19,318.855,980.67,19,96.458,981.26,18,204.197,980.97,19,654.735,981.08,19,135.475,982.02,17,327.925,980.97,19,822.523,981.9,17,850.183,980.67,19,419.23,980.67,19,195.389,980.67,981.12,402.5
